901.txt                                 
    f [Hz]  Sp [m2s]
    0.9392    0.0028
    0.9400    0.0028
    0.9408    0.0028
    0.9417    0.0028
    0.9425    0.0028
    0.9433    0.0027
    0.9442    0.0027
    0.9450    0.0027
    0.9458    0.0027
    0.9467    0.0027
    0.9475    0.0027
    0.9483    0.0027
    0.9492    0.0027
    0.9500    0.0027
    0.9508    0.0027
    0.9517    0.0028
    0.9525    0.0028
    0.9533    0.0028
    0.9542    0.0028
    0.9550    0.0028
    0.9558    0.0029
    0.9567    0.0029
    0.9575    0.0029
    0.9583    0.0029
    0.9592    0.0030
    0.9600    0.0030
    0.9608    0.0030
    0.9617    0.0030
    0.9625    0.0029
    0.9633    0.0029
    0.9642    0.0029
    0.9650    0.0029
    0.9658    0.0029
    0.9667    0.0029
    0.9675    0.0029
    0.9683    0.0029
    0.9692    0.0029
    0.9700    0.0029
    0.9708    0.0029
    0.9717    0.0029
    0.9725    0.0029
    0.9733    0.0029
    0.9742    0.0028
    0.9750    0.0028
    0.9758    0.0028
    0.9767    0.0028
    0.9775    0.0027
    0.9783    0.0027
    0.9792    0.0027
    0.9800    0.0005
    0.9808    0.0006
    0.9817    0.0000
    0.9825    0.0014
    0.9833    0.0058
    0.9842    0.0034
    0.9850    0.0024
    0.9858    0.0027
    0.9867    0.0057
    0.9875    0.0055
    0.9883    0.0020
    0.9892    0.0018
    0.9900    0.0016
    0.9908    0.0002
    0.9917    0.0002
    0.9925    0.0008
    0.9933    0.0012
    0.9942    0.0029
    0.9950    0.0008
    0.9958    0.0010
    0.9967    0.0025
    0.9975    0.0001
    0.9983    0.0002
    0.9992    0.0009
    1.0000    0.0021
